MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2023
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.672
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",8,Implicit regional price deflator,118.613
11020,"Altoona, PA (Metropolitan Statistical Area)",,Real personal income,
11020,"Altoona, PA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",6548.9
11020,"Altoona, PA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",54450
11020,"Altoona, PA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11020,"Altoona, PA (Metropolitan Statistical Area)",3,RPPs: All items,88.250
11020,"Altoona, PA (Metropolitan Statistical Area)",4,"  RPPs: Goods",98.458
11020,"Altoona, PA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",52.980
11020,"Altoona, PA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",117.306
11020,"Altoona, PA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.633
11020,"Altoona, PA (Metropolitan Statistical Area)",8,Implicit regional price deflator,106.334
11100,"Amarillo, TX (Metropolitan Statistical Area)",,Real personal income,
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",15012.4
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",55113
11100,"Amarillo, TX (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,RPPs: All items,90.812
11100,"Amarillo, TX (Metropolitan Statistical Area)",4,"  RPPs: Goods",91.935
11100,"Amarillo, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",77.354
11100,"Amarillo, TX (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",90.690
11100,"Amarillo, TX (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",95.265
11100,"Amarillo, TX (Metropolitan Statistical Area)",8,Implicit regional price deflator,109.420
11180,"Ames, IA (Metropolitan Statistical Area)",,Real personal income,
11180,"Ames, IA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",6349.6
11180,"Ames, IA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",50733
11180,"Ames, IA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11180,"Ames, IA (Metropolitan Statistical Area)",3,RPPs: All items,91.418
11180,"Ames, IA (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.070
11180,"Ames, IA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",79.868
11180,"Ames, IA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",86.065
11180,"Ames, IA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",93.114
11180,"Ames, IA (Metropolitan Statistical Area)",8,Implicit regional price deflator,110.151
11260,"Anchorage, AK (Metropolitan Statistical Area)",,Real personal income,
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",23568.2
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",58728
11260,"Anchorage, AK (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,RPPs: All items,104.547
11260,"Anchorage, AK (Metropolitan Statistical Area)",4,"  RPPs: Goods",100.299
11260,"Anchorage, AK (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",120.703
11260,"Anchorage, AK (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",106.719
11260,"Anchorage, AK (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",103.470
11260,"Anchorage, AK (Metropolitan Statistical Area)",8,Implicit regional price deflator,125.970
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",,Real personal income,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",24059.3
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",65819
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,RPPs: All items,97.968
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,"  RPPs: Goods",93.313
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",112.020
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",97.807
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.880
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",8,Implicit regional price deflator,118.043
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",,Real personal income,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",4966.5
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",42657
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,RPPs: All items,87.218
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.052
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",49.699
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",91.158
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",98.684
